"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 20 11:23:20 GMT 2022","Mon Jun 20 11:23:27 GMT 2022","7656","test","test_conduit","TestConduit","","","test_new_data_to_profile",""
"passed","Mon Jun 20 11:23:02 GMT 2022","Mon Jun 20 11:23:08 GMT 2022","6347","test","test_conduit","TestConduit","","","test_logout",""
"passed","Mon Jun 20 11:24:03 GMT 2022","Mon Jun 20 11:24:40 GMT 2022","37633","test","test_conduit","TestConduit","","","test_delete_articles",""
"failed","Mon Jun 20 11:23:31 GMT 2022","Mon Jun 20 11:23:35 GMT 2022","3467","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Mon Jun 20 11:23:52 GMT 2022","Mon Jun 20 11:23:59 GMT 2022","6531","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Mon Jun 20 11:23:38 GMT 2022","Mon Jun 20 11:23:49 GMT 2022","10470","test","test_conduit","TestConduit","","","test_serial_data_upload",""
"passed","Mon Jun 20 11:24:44 GMT 2022","Mon Jun 20 11:24:51 GMT 2022","7386","test","test_conduit","TestConduit","","","test_save_data",""
"passed","Mon Jun 20 11:22:44 GMT 2022","Mon Jun 20 11:22:47 GMT 2022","2516","test","test_conduit","TestConduit","","","test_registration",""
"passed","Mon Jun 20 11:22:56 GMT 2022","Mon Jun 20 11:22:58 GMT 2022","2050","test","test_conduit","TestConduit","","","test_cookie",""
"passed","Mon Jun 20 11:23:12 GMT 2022","Mon Jun 20 11:23:16 GMT 2022","4308","test","test_conduit","TestConduit","","","test_go_through_a_multi_page_list",""
"passed","Mon Jun 20 11:22:50 GMT 2022","Mon Jun 20 11:22:52 GMT 2022","2245","test","test_conduit","TestConduit","","","test_login",""
